# PDB,Heme,ligand,saddling
1a4f,HEM_B_150,HIS-OXY,0.185
1a6g,HEM_A_154,HIS-CMO,0.138
1a6k,HEM_A_154,HIS-HOH,0.117
1a6m,HEM_A_154,HIS-OXY,0.185
1a6n,HEM_A_154,HIS,0.130
1a7v,HEM_A_150,HIS,-0.340
1a7v,HEM_B_150,HIS,-0.353
1a9w,HEM_A_142,HIS-CMO,0.346
1a9w,HEM_E_147,HIS-CMO,0.512
1a9w,HEM_C_142,HIS-CMO,0.351
1a9w,HEM_F_147,HIS-CMO,0.512
1aa4,HEM_A_295,HIS-HOH,-0.412
1abs,HEM_A_154,HIS,0.048
1abw,HEM_A_284,HIS-HOH,0.158
1abw,HEM_A_285,HIS-HOH,0.253
1abw,HEM_B_147,HIS,0.379
1abw,HEM_D_147,HIS,0.405
1aby,HEM_A_286,HIS-CYN,0.320
1aby,HEM_A_287,HIS-CYN,0.524
1aby,HEM_B_148,HIS-CYN,0.311
1aby,HEM_D_148,HIS-CYN,0.515
1ac4,HEM_A_295,HIS-HOH,-0.467
1ac8,HEM_A_295,HIS-HOH,-0.465
1aeb,HEM_A_295,HIS-HOH,-0.461
1aed,HEM_A_295,HIS-HOH,-0.461
1aee,HEM_A_295,HIS-HOH,-0.534
1aef,HEM_A_295,HIS-HOH,-0.461
1aeg,HEM_A_295,HIS-HOH,-0.461
1aeh,HEM_A_295,HIS-HOH,-0.461
1aej,HEM_A_295,HIS-HOH,-0.461
1aek,HEM_A_295,HIS-HOH,-0.461
1aem,HEM_A_295,HIS-HOH,-0.461
1aen,HEM_A_295,HIS-HOH,-0.467
1aeo,HEM_A_295,HIS-HOH,-0.467
1aeq,HEM_A_295,HIS-HOH,-0.461
1aes,HEM_A_295,HIS-HOH,-0.547
1aet,HEM_A_295,HIS-HOH,-0.472
1aeu,HEM_A_295,HIS-HOH,-0.467
1aev,HEM_A_295,HIS-HOH,-0.489
1aj9,HEM_A_143,HIS-CMO,0.151
1aj9,HEM_B_147,HIS-CMO,0.195
1ajg,HEM_A_154,HIS-CMO,0.011
1ajh,HEM_A_154,HIS-CMO,0.020
1akd,HEM_A_417,CYS,0.265
1aof,HEM_A_601,HIS-MET,-0.260
1aof,HEM_B_601,HIS-MET,-0.126
1aom,HEM_B_601,HIS-HIS,0.178
1aoq,HEM_A_601,HIS-HIS,0.175
1aoq,HEM_B_601,HIS-HIS,0.154
1apx,HEM_A_251,HIS-HOH,-0.811
1apx,HEM_B_251,HIS-HOH,-0.661
1apx,HEM_C_251,HIS,-0.568
1apx,HEM_D_251,HIS-HOH,-0.869
1aqe,HEM_A_119,HIS-HIS,0.369
1aqe,HEM_A_120,HIS-HIS,0.320
1aqe,HEM_A_121,HIS-HIS,0.510
1aqe,HEM_A_122,HIS-HIS,0.105
1ar1,HEA_A_562,HIS-HIS,-0.724
1ar1,HEA_A_563,HIS,-0.189
1arp,HEM_A_345,HIS-HOH,-0.903
1aru,HEM_A_345,HIS-CYN,-0.952
1arv,HEM_A_345,HIS-CYN,-0.969
1arw,HEM_A_345,HIS-CYN,-1.003
1arx,HEM_A_345,HIS,-0.914
1ary,HEM_A_345,HIS,-0.773
1ash,HEM_A_301,HIS-OXY,-0.114
1atj,HEM_A_350,HIS,-0.869
1atj,HEM_B_350,HIS,-0.869
1atj,HEM_C_350,HIS,-0.869
1atj,HEM_D_350,HIS,-0.869
1atj,HEM_E_350,HIS,-0.869
1atj,HEM_F_350,HIS,-0.869
1awp,HEM_A_201,HIS-HIS,0.107
1awp,HEM_B_201,HIS-HIS,0.119
1azi,HEM_A_154,HIS-AZI,0.053
1b0b,HEM_A_144,HIS-CYN,-0.518
1b2v,HEM_A_200,HIS-TYR,0.014
1b5m,HEM_A_201,HIS-HIS,0.757
1b7v,HEC_A_93,HIS-MET,0.025
1b80,HEM_A_350,HIS-HOH,-0.536
1b80,HEM_B_350,HIS-HOH,-0.578
1b82,HEM_A_350,HIS-HOH,-0.555
1b82,HEM_B_350,HIS-HOH,-0.554
1b85,HEM_A_350,HIS-HOH,-0.492
1b85,HEM_B_350,HIS-HOH,-0.577
1b86,HEM_A_143,HIS-OXY,0.232
1b86,HEM_B_291,HIS-HOH,0.333
1b86,HEM_C_543,HIS-OXY,0.241
1b86,HEM_D_691,HIS-HOH,0.551
1bab,HEM_A_143,HIS,0.159
1bab,HEM_B_147,HIS,0.352
1bab,HEM_C_143,HIS,0.162
1bab,HEM_D_147,HIS,0.356
1bbb,HEM_A_142,HIS-CMO,0.331
1bbb,HEM_B_147,HIS-CMO,0.316
1bbb,HEM_C_142,HIS-CMO,0.216
1bbb,HEM_D_147,HIS-CMO,0.219
1bbh,HEC_A_132,HIS,-0.342
1bbh,HEC_B_132,HIS,-0.157
1bcf,HEM_A_200,MET-MET,-0.491
1bcf,HEM_C_201,MET-MET,-0.490
1bcf,HEM_E_202,MET-MET,-0.491
1bcf,HEM_G_203,MET-MET,-0.491
1bcf,HEM_I_204,MET-MET,-0.490
1bcf,HEM_K_205,MET-MET,-0.490
1be3,HEM_C_380,HIS-HIS,-0.363
1be3,HEM_C_381,HIS-HIS,-0.624
1be3,HEC_D_242,HIS-MET,-0.341
1bej,HEM_A_296,HIS-HOH,-0.629
1bek,HEM_A_296,HIS-HOH,-0.595
1bem,HEM_A_296,HIS-HOH,-0.587
1beq,HEM_A_296,HIS-HOH,-0.522
1bes,HEM_A_296,HIS-CL,-0.526
1bfr,HEM_B_200,MET-MET,-0.155
1bfr,HEM_D_200,MET-MET,-0.154
1bfr,HEM_F_200,MET-MET,-0.155
1bfr,HEM_H_200,MET-MET,-0.155
1bfr,HEM_J_200,MET-MET,-0.155
1bfr,HEM_L_200,MET-MET,-0.155
1bfr,HEM_N_200,MET-MET,-0.154
1bfr,HEM_P_200,MET-MET,-0.155
1bfr,HEM_R_200,MET-MET,-0.155
1bfr,HEM_T_200,MET-MET,-0.154
1bfr,HEM_V_200,MET-MET,-0.154
1bfr,HEM_X_200,MET-MET,-0.155
1bgp,HEM_A_400,HIS,-1.147
1bgy,HEM_C_380,HIS-HIS,-0.157
1bgy,HEM_C_381,HIS-HIS,-0.536
1bgy,HEC_D_242,HIS-MET,-0.331
1bgy,HEM_O_380,HIS-HIS,-0.217
1bgy,HEM_O_381,HIS-HIS,-0.603
1bgy,HEC_P_242,HIS-MET,-0.386
1bij,HEM_A_142,HIS,-0.003
1bij,HEM_B_147,HIS,0.123
1bij,HEM_C_142,HIS,0.188
1bij,HEM_D_147,HIS,0.814
1bin,HEM_A_144,HIS-ACT,0.241
1bin,HEM_B_144,HIS-ACT,0.071
1bje,HEM_A_154,HIS-AZI,0.097
1bl9,HEC_A_601,HIS-MET,-0.248
1bl9,HEC_B_601,HIS-MET,0.014
1bu7,HEM_A_999,CYS-HOH,-0.274
1bu7,HEM_B_1000,CYS-HOH,-0.055
1buw,HEM_A_142,HIS-NO,0.306
1buw,HEM_B_147,HIS-NO,0.360
1buw,HEM_C_142,HIS-NO,0.213
1buw,HEM_D_147,HIS-NO,0.217
1bva,HEM_A_390,HIS-HOH,-0.370
1bvb,HEM_A_213,HIS-HIS,0.042
1bvb,HEM_A_214,HIS,0.278
1bvb,HEM_A_215,HIS-HIS,0.099
1bvb,HEM_A_216,HIS-HIS,0.068
1bvy,HEM_A_1000,CYS-EDO,-0.221
1bvy,HEM_B_1001,CYS-EDO,-0.197
1bz0,HEM_A_142,HIS,0.168
1bz0,HEM_B_147,HIS,0.377
1bz0,HEM_C_142,HIS,0.185
1bz0,HEM_D_147,HIS,0.289
1bz1,HEM_A_143,HIS,0.198
1bz1,HEM_B_147,HIS,0.385
1bz1,HEM_C_143,HIS,0.219
1bz1,HEM_D_147,HIS,0.306
1bz6,HEM_A_154,HIS-HOH,0.038
1bzp,HEM_A_154,HIS,0.049
1bzr,HEM_A_154,HIS-CMO,0.096
1bzz,HEM_A_142,HIS,0.197
1bzz,HEM_B_147,HIS,0.363
1bzz,HEM_C_142,HIS,0.197
1bzz,HEM_D_147,HIS,0.307
1c2r,HEC_A_120,HIS-MET,-0.107
1c2r,HEC_B_120,HIS-MET,0.000
1c40,HEM_A_150,HIS-HOH,0.022
1c40,HEM_B_150,HIS-HOH,0.288
1c52,HEM_A_200,HIS-MET,0.052
1c53,HEM_A_80,None,0.465
1c6o,HEM_A_90,HIS-MET,0.443
1c6o,HEM_B_90,HIS-MET,0.419
1c6r,HEM_A_90,HIS-MET,0.364
1c75,HEC_A_93,HIS-MET,-0.010
1c7b,HEM_A_150,HIS,0.111
1c7b,HEM_B_150,HIS,0.375
1c7b,HEM_C_150,HIS,0.130
1c7b,HEM_D_150,HIS,0.303
1c7c,HEM_A_284,HIS,0.137
1c7c,HEM_A_285,HIS,0.192
1c7c,HEM_B_147,HIS,0.329
1c7c,HEM_D_147,HIS,0.423
1c7d,HEM_A_285,HIS,0.173
1c7d,HEM_A_286,HIS,0.132
1c7d,HEM_B_147,HIS,0.291
1c7d,HEM_D_147,HIS,0.363
1c8i,HEM_A_345,HIS-HOA,-0.900
1c8j,HEM_A_417,CYS,0.232
1c8j,HEM_B_417,CYS,0.215
1cbl,HEM_A_147,HIS,0.240
1cbl,HEM_B_147,HIS,0.127
1cbl,HEM_C_147,HIS,0.330
1cbl,HEM_D_147,HIS,0.257
1cbm,HEM_A_147,HIS-CMO,0.315
1cbm,HEM_B_147,HIS-CMO,0.244
1cbm,HEM_C_147,HIS-CMO,0.278
1cbm,HEM_D_147,HIS-CMO,0.392
1cc5,HEM_A_1,HIS-MET,-0.073
1cca,HEM_A_295,HIS-HOH,-0.538
1ccb,HEM_A_295,HIS-HOH,-0.703
1ccc,HEM_A_295,HIS-HOH,-0.662
1cce,HEM_A_1,HOH-HOH,-0.533
1ccg,HEM_A_1,HOH-IMD,-0.610
1cci,HEM_A_500,HIS-HOH,-0.309
1ccj,HEM_A_295,HIS-HOH,-0.494
1cck,HEM_A_1,HIS-HOH,-0.543
1ccl,HEM_A_1,HIS-HOH,-0.519
1ccp,HEM_A_296,HIS-HOH,-0.693
1ccr,HEC_A_112,HIS-MET,-0.117
1cf9,HEM_A_754,TYR,-0.051
1cf9,HEM_B_754,TYR,-0.065
1cf9,HEM_C_754,TYR,-0.049
1cf9,HEM_D_754,TYR,-0.034
1cfm,HEM_A_253,HIS-TYR,-0.486
1cfm,HEM_B_254,HIS-TYR,-0.701
1cfm,HEM_C_255,HIS-TYR,-0.619
1cg5,HEM_A_142,HIS,0.229
1cg5,HEM_B_142,HIS,0.182
1cg8,HEM_A_142,HIS-CMO,0.270
1cg8,HEM_B_142,HIS-CMO,0.229
1cgn,HEC_A_128,HIS,-0.268
1cgo,HEC_A_128,HIS,-0.272
1ch1,HEM_A_154,HIS-HOH,0.082
1ch2,HEM_A_154,HIS-HOH,0.029
1ch3,HEM_A_154,HIS-HOH,0.023
1ch4,HEM_A_147,HIS-CMO,0.031
1ch4,HEM_B_147,HIS-CMO,0.031
1ch4,HEM_C_147,HIS-CMO,0.006
1ch4,HEM_D_147,HIS-CMO,0.006
1ch5,HEM_A_154,HIS-HOH,0.189
1ch7,HEM_A_154,HIS-HOH,0.070
1ch9,HEM_A_154,HIS-HOH,0.076
1chh,HEC_A_104,HIS-MET,-0.052
1chi,HEC_A_104,HIS-MET,-0.062
1chj,HEC_A_104,HIS-MET,-0.003
1ci3,HEC_M_254,HIS-TYR,-0.651
1cie,HEC_A_104,HIS-MET,-0.087
1cif,HEC_A_104,HIS-MET,-0.360
1cig,HEC_A_104,HIS-MET,-0.190
1cih,HEC_A_104,HIS-MET,-0.109
1cik,HEM_A_154,HIS-HOH,-0.174
1cio,HEM_A_154,HIS-HOH,-0.006
1ck6,HEM_A_345,HIS-HOH,-0.797
1cl6,HEM_A_501,CYS-NO,-0.028
1cls,HEM_A_142,HIS-O,0.031
1cls,HEM_B_148,HIS,0.292
1cls,HEM_C_142,HIS-O,-0.054
1cls,HEM_D_148,HIS,0.261
1cmj,HEM_A_501,CYS-NO,-0.086
1cmn,HEM_A_501,CYS-NO,-0.091
1cmp,HEM_A_296,HIS-HOH,-0.492
1cmq,HEM_A_295,HIS-HOH,-0.469
1cmt,HEM_A_295,HIS-HOH,-0.490
1cmu,HEM_A_295,HIS-HOH,-0.663
1cmy,HEM_A_142,HIS,0.001
1cmy,HEM_B_147,HIS,0.077
1cmy,HEM_C_142,HIS,0.074
1cmy,HEM_D_147,HIS,0.081
1cno,HEC_A_200,HIS-MET,0.297
1cno,HEC_B_200,HIS-MET,0.351
1cno,HEC_C_200,HIS-MET,0.226
1cno,HEC_D_200,HIS-MET,0.232
1cno,HEC_E_200,HIS-MET,0.122
1cno,HEC_F_200,HIS-MET,0.357
1cno,HEC_G_200,HIS-MET,0.320
1cno,HEC_H_200,HIS-MET,0.394
1co6,HEC_A_108,HIS-MET,-0.287
1co8,HEM_A_154,HIS-HOH,-0.008
1co9,HEM_A_154,HIS-HOH,0.044
1coh,HEM_A_142,HIS-CMO,0.113
1coh,HEM_C_142,HIS-CMO,0.015
1cot,HEC_A_130,HIS-MET,-0.011
1cp0,HEM_A_154,HIS-HOH,0.040
1cp4,HEM_A_415,CYS-BNZ,0.216
1cp5,HEM_A_154,HIS-HOH,0.008
1cpd,HEM_A_296,HIS-HOH,-0.601
1cpe,HEM_A_296,HIS-HOH,-0.579
1cpf,HEM_A_296,HIS-HOH,-0.615
1cpg,HEM_A_296,HIS-HOH,-0.605
1cpo,HEM_A_396,CYS,-0.063
1cpq,HEM_A_130,HIS,-0.157
1cpr,HEM_A_136,HIS,-0.440
1cpt,HEM_A_430,CYS-HOH,-0.183
1cpw,HEM_A_154,HIS-HOH,-0.234
1cq2,HEM_A_154,HIS-DOD,0.195
1cqx,HEM_A_404,HIS,-0.187
1cqx,HEM_B_404,HIS,-0.144
1crc,HEC_A_105,HIS-MET,-0.023
1crc,HEC_B_105,HIS-MET,-0.361
1crg,HEC_A_104,HIS-MET,-0.294
1crh,HEC_A_104,HIS-MET,-0.196
1cri,HEM_A_104,HIS-MET,-0.145
1crj,HEC_A_104,HIS-MET,-0.159
1cry,HEC_A_108,HIS-MET,-0.133
1csu,HEC_A_104,HIS-MET,-0.228
1csv,HEC_A_104,HIS-MET,-0.009
1csw,HEC_A_104,HIS-MET,-0.295
1csx,HEC_A_104,HIS-MET,-0.139
1ctj,HEM_A_91,HIS-MET,0.499
1ctm,HEC_A_253,HIS-TYR,-0.464
1cty,HEC_A_104,HIS-MET,-0.041
1ctz,HEC_A_104,HIS-MET,-0.103
1cx2,HEM_A_682,HIS,-0.358
1cx2,HEM_B_682,HIS,-0.237
1cx2,HEM_C_682,HIS,-0.360
1cx2,HEM_D_682,HIS,-0.247
1cxa,HEC_A_126,HIS-IMD,-0.035
1cxc,HEC_A_125,HIS-MET,-0.123
1cxp,HEM_A_605,HIS-HOH,-1.013
1cxp,HEM_B_605,HIS-HOH,-0.967
1cxy,HEM_A_204,HIS-HIS,0.514
1cyc,HEC_A_104,HIS-MET,0.181
1cyc,HEC_B_104,HIS-MET,0.181
1cyf,HEM_A_296,HIS-HOH,-0.294
1cyi,HEC_A_200,HIS-MET,0.522
1cyj,HEC_A_200,HIS-MET,0.201
1cyo,HEM_A_201,HIS-HIS,0.364
1czj,HEM_A_119,HIS-HIS,0.092
1czj,HEM_A_120,HIS-HIS,0.206
1czj,HEM_A_121,HIS-HIS,0.471
1czj,HEM_A_122,HIS-HIS,-0.015
1d06,HEM_A_501,HIS,0.593
1d0c,HEM_A_500,CYS,-0.374
1d0c,HEM_B_500,CYS,-0.337
1d0o,HEM_A_500,CYS,-0.501
1d0o,HEM_B_500,CYS,-0.467
1d1v,HEM_A_500,CYS,-0.744
1d1v,HEM_B_500,CYS,-0.735
1d1w,HEM_A_500,CYS,-0.882
1d1w,HEM_B_500,CYS,-0.634
1d1x,HEM_A_500,CYS,-0.676
1d1x,HEM_B_500,CYS,-0.558
1d1y,HEM_A_500,CYS,-0.724
1d1y,HEM_B_500,CYS,-0.636
1d2u,HEM_A_185,HIS-NH3,0.281
1d2v,HEM_A_605,HIS-HOH,-1.005
1d2v,HEM_B_605,HIS-HOH,-0.781
1d3s,HEM_A_185,HIS-HOH,0.336
1d4c,HEC_A_601,HIS-HIS,0.067
1d4c,HEC_A_602,HIS-HIS,-0.044
1d4c,HEC_A_603,HIS-HIS,0.226
1d4c,HEC_A_604,HIS-HIS,-0.047
1d4c,HEC_B_601,HIS-HIS,0.362
1d4c,HEC_B_602,HIS-HIS,-0.011
1d4c,HEC_B_603,HIS-HIS,0.058
1d4c,HEC_B_604,HIS-HIS,-0.048
1d4c,HEC_C_601,HIS-HIS,0.296
1d4c,HEC_C_602,HIS-HIS,0.248
1d4c,HEC_C_603,HIS-HIS,-0.132
1d4c,HEC_C_604,HIS-HIS,0.002
1d4c,HEC_D_601,HIS-HIS,0.462
1d4c,HEC_D_602,HIS-HIS,0.070
1d4c,HEC_D_603,HIS-HIS,0.160
1d4c,HEC_D_604,HIS-HIS,-0.101
1d4d,HEC_A_601,HIS-HIS,0.321
1d4d,HEC_A_602,HIS-HIS,0.078
1d4d,HEC_A_603,HIS-HIS,-0.057
1d4d,HEC_A_604,HIS-HIS,0.241
1d4e,HEC_A_601,HIS-HIS,0.354
1d4e,HEC_A_602,HIS-HIS,0.050
1d4e,HEC_A_603,HIS-HIS,-0.012
1d4e,HEC_A_604,HIS-HIS,0.217
1d5l,HEM_A_605,HIS-CYN,-1.035
1d5l,HEM_B_605,HIS-CYN,-1.030
1d7b,HEM_A_401,HIS-MET,-0.166
1d7b,HEM_B_401,HIS-MET,-0.085
1d7c,HEM_A_401,HIS-MET,-0.251
1d7c,HEM_B_401,HIS-MET,-0.158
1d7d,HEM_A_401,HIS-MET,-0.163
1d7d,HEM_B_401,HIS-MET,-0.100
1d7w,HEM_A_605,HIS-CYN,-0.982
1d7w,HEM_B_605,HIS-CYN,-0.991
1d8u,HEM_A_166,HIS-HIS,0.202
1d8u,HEM_B_166,HIS-HIS,0.205
1dcc,HEM_A_296,HIS-OXY,-0.571
1dd7,HEM_A_600,CYS-1PM,-0.325
1df1,HEM_A_901,CYS,-0.695
1df1,HEM_B_901,CYS,-0.723
1dgb,HEM_A_1200,TYR,-0.202
1dgb,HEM_B_1201,TYR,-0.083
1dgb,HEM_C_1202,TYR,-0.131
1dgb,HEM_D_1203,TYR,-0.299
1dgf,HEM_A_3000,TYR,0.035
1dgf,HEM_B_3001,TYR,-0.071
1dgf,HEM_C_3002,TYR,-0.045
1dgf,HEM_D_3003,TYR,-0.058
1dgg,HEM_A_2000,TYR-CYN,-0.161
1dgg,HEM_B_2001,TYR-CYN,-0.021
1dgg,HEM_C_2002,TYR-CYN,0.144
1dgg,HEM_D_2003,TYR-CYN,-0.074
1dgh,HEM_A_2000,TYR,-0.008
1dgh,HEM_B_2001,TYR,0.034
1dgh,HEM_C_2002,TYR,0.055
1dgh,HEM_D_2003,TYR,0.024
1dii,HEC_C_699,HIS-MET,-0.001
1dii,HEC_D_699,HIS-MET,-0.025
1diq,HEC_C_699,HIS-MET,-0.015
1diq,HEC_D_699,HIS-MET,0.011
1dj1,HEM_A_1,HIS-HOH,-0.767
1dj5,HEM_A_1,HIS-HGU,-0.687
1dk0,HEM_A_200,HIS-TYR,0.027
1dk0,HEM_B_200,HIS-TYR,0.034
1dke,HEM_A_142,HIS,0.143
1dke,HEM_B_147,HIS,0.360
1dke,HEM_C_142,HIS,-0.010
1dke,HEM_D_147,HIS,0.311
1dlw,HEM_A_144,HIS-HOH,-0.422
1dly,HEM_A_144,HIS-CYN,-0.021
1dm1,HEM_A_148,HIS-HOH,-0.280
1dm6,HEM_A_1500,CYS,-0.645
1dm6,HEM_B_2500,CYS,-0.733
1dm7,HEM_A_1500,CYS,-0.620
1dm7,HEM_B_2500,CYS,-0.379
1dm8,HEM_A_1500,CYS,-0.749
1dm8,HEM_B_2500,CYS,-0.556
1dmi,HEM_A_1500,CYS,-0.755
1dmi,HEM_B_2500,CYS,-0.683
1dmj,HEM_A_1500,CYS,-0.716
1dmj,HEM_B_2500,CYS,-0.684
1dmk,HEM_A_1500,CYS,-0.819
1dmk,HEM_B_2500,CYS,-0.566
1dnu,HEM_C_10,HIS,-0.936
1dnu,HEM_B_107,HIS,-1.086
1dnw,HEM_C_14,HIS-CYN,-1.232
1dnw,HEM_B_109,HIS-CYN,-1.147
1do1,HEM_A_154,HIS-CMO,0.233
1do3,HEM_A_154,HIS,0.197
1do4,HEM_A_154,HIS,0.228
1do7,HEM_A_154,HIS-CMO,0.274
1dp6,HEM_A_719,HIS-OXY,0.436
1dp8,HEM_A_719,HIS-NO,0.453
1dp9,HEM_A_719,HIS-IMD,0.487
1drm,HEM_A_719,HIS,0.594
1ds4,HEM_A_1001,IMD,-0.499
1dse,HEM_A_1001,PO4,-0.544
1dsg,HEM_A_1001,HOH-IMD,-0.529
1dso,HEM_A_1001,HOH-IMD,-0.492
1dsp,HEM_A_1001,HOH-IMD,-0.529
1dt1,HEC_A_200,HIS-MET,0.096
1dt6,HEM_A_501,CYS,-0.125
1dti,HEM_A_154,HIS-HOH,0.171
1dtm,HEM_A_154,4MZ-HOH,0.219
1duk,HEM_A_155,HIS-HOH,0.174
1duo,HEM_A_154,1MZ-HOH,0.019
1duw,HEC_A_293,HIS-HIS,0.191
1duw,HEC_A_294,HIS-HIS,-0.469
1duw,HEC_A_295,HIS-HIS,-0.041
1duw,HEC_A_296,HIS-HIS,-0.130
1duw,HEC_A_297,HIS-HIS,0.435
1duw,HEC_A_298,HIS-HIS,-0.197
1duw,HEC_A_299,HIS-HIS,-0.024
1duw,HEC_A_300,HIS-HIS,-0.061
1duw,HEC_A_301,HIS-HIS,-0.062
1dve,HEM_A_300,HIS-HOH,-0.057
1dvg,HEM_A_300,HIS-HOH,0.059
1dvg,HEM_B_300,HIS-HOH,-0.030
1dw0,HEC_A_113,ASN-HIS,-0.038
1dw0,HEC_B_113,ASN-HIS,-0.079
1dw0,HEC_C_113,ASN-HIS,-0.122
1dw1,HEC_A_113,HIS-CYN,-0.160
1dw1,HEC_B_113,HIS-CYN,-0.163
1dw1,HEC_C_113,HIS-CYN,-0.133
1dw2,HEM_A_113,HIS-NO,-0.039
1dw2,HEM_B_113,HIS-NO,-0.076
1dw2,HEM_C_113,HIS-NO,-0.053
1dw3,HEC_A_113,HIS,-0.060
1dw3,HEC_B_113,ASN-HIS,-0.039
1dw3,HEC_C_113,HIS,-0.123
1dwr,HEM_A_154,HIS-CMO,0.060
1dws,HEM_A_154,HIS,-0.071
1dwt,HEM_A_154,HIS,0.083
1dwv,HEM_A_901,CYS,-0.689
1dwv,HEM_B_901,CYS,-0.751
1dww,HEM_A_901,CYS,-0.654
1dww,HEM_B_901,CYS,-0.685
1dwx,HEM_A_901,CYS,-0.658
1dwx,HEM_B_901,CYS,-0.749
1dxc,HEM_A_154,HIS-CMO,0.143
1dxd,HEM_A_154,HIS,0.086
1dxr,HEC_C_401,HIS-MET,0.488
1dxr,HEC_C_402,HIS-MET,0.427
1dxr,HEC_C_403,HIS-MET,0.357
1dxr,HEC_C_404,HIS-HIS,0.219
1dxt,HEM_A_142,HIS,0.198
1dxt,HEM_B_148,HIS,0.332
1dxt,HEM_C_142,HIS,0.179
1dxt,HEM_D_148,HIS,0.396
1dxu,HEM_A_142,HIS,0.202
1dxu,HEM_B_147,HIS,0.345
1dxu,HEM_C_142,HIS,0.220
1dxu,HEM_D_147,HIS,0.371
1dxv,HEM_A_142,HIS,0.196
1dxv,HEM_B_147,HIS,0.365
1dxv,HEM_C_142,HIS,0.230
1dxv,HEM_D_147,HIS,0.368
1dy7,HEC_B_601,HIS-MET,-0.112
1dz4,HEM_A_501,CYS,0.304
1dz4,HEM_B_501,CYS,0.192
1dz6,HEM_A_501,CYS,0.355
1dz6,HEM_B_501,CYS,0.199
1dz8,HEM_A_501,CYS-OXY,0.267
1dz8,HEM_B_501,CYS,0.158
1dz9,HEM_A_501,CYS-O,0.204
1dz9,HEM_B_501,CYS-HOH,0.189
1e29,HEC_A_201,HIS-HIS,-0.297
1e2r,HEC_A_601,HIS-MET,-0.114
1e2r,HEC_B_601,HIS-MET,-0.134
1e2v,HEC_A_900,HIS-TYR,-0.469
1e2v,HEC_B_900,HIS-TYR,-0.458
1e2v,HEC_C_900,HIS-TYR,-0.501
1e2w,HEC_A_900,HIS-TYR,-0.447
1e2w,HEC_B_900,HIS-TYR,-0.616
1e2z,HEC_A_900,HIS-TYR,-0.551
1e2z,HEC_B_900,HIS-TYR,-0.350
1e2z,HEC_C_900,HIS-TYR,-0.618
1e39,HEC_A_801,HIS-HIS,-0.483
1e39,HEC_A_802,HIS-HIS,-0.317
1e39,HEC_A_803,HIS-HIS,0.239
1e39,HEC_A_804,HIS-HIS,0.893
1e83,HEC_A_128,HIS,-0.224
1e84,HEC_A_128,HIS,-0.159
1e85,HEC_A_128,NO,-0.278
